generation,population_size,mean_fitness,max_fitness,entropy,mutual_information,travel_gene_freq,num_migrations
0,170,-1924.2410610167049,-0.27295261404994164,7.673013968458539,0.3269860315414608,0.4823529411764706,0
1,170,-923.9140754046556,-0.27295261404994164,7.082638323687727,0.9173616763122734,0.5117647058823529,0
2,164,-468.3277027994448,-0.27295261404994164,6.252845974832715,1.7471540251672852,0.524390243902439,0
3,166,-316.76247368980916,-0.27295261404994164,5.515552123352766,2.484447876647234,0.5843373493975904,0
4,182,-369.8217615353206,-0.27295261404994164,4.960848510196989,3.039151489803011,0.45604395604395603,0
5,164,-460.63610218055095,-0.27295261404994164,4.411162444896689,3.5888375551033107,0.42073170731707316,0
6,174,-258.1817116385549,-0.27295261404994164,4.287901621567685,3.712098378432315,0.5402298850574713,0
7,172,-318.7259028430031,-9.367961701191039,3.780593126706395,4.219406873293606,0.47674418604651164,0
8,176,-303.61474053786844,-0.02391942271196168,4.036056176195761,3.9639438238042386,0.4431818181818182,0
9,166,-195.70152611735892,-0.02391942271196168,4.5201977528615345,3.4798022471384655,0.43373493975903615,0
10,170,-299.8268339767505,-0.02391942271196168,5.206933899420907,2.793066100579093,0.49411764705882355,0
11,162,-291.1838252835789,-0.02391942271196168,5.555833816883226,2.4441661831167742,0.5,0
12,174,-232.76353057596344,-0.02391942271196168,5.480401893585405,2.5195981064145947,0.4540229885057471,0
13,172,-180.7151173899997,-0.02391942271196168,5.313128209326168,2.686871790673832,0.45930232558139533,0
14,174,-244.22146541147256,-0.02391942271196168,5.453819829182125,2.546180170817875,0.41954022988505746,0
15,172,-253.67558809460405,-0.02391942271196168,5.085347608843765,2.9146523911562348,0.436046511627907,0
16,160,-199.13632818685278,-0.02391942271196168,4.646954406100189,3.353045593899811,0.5,0
17,170,-248.9281433474246,-0.02391942271196168,3.753096835311207,4.246903164688793,0.5235294117647059,0
18,166,-207.6519366893585,-0.02391942271196168,3.969870076951521,4.030129923048479,0.5,0
19,172,-406.5535604638788,-10.36778908547673,3.9599000069648724,4.040099993035128,0.5,0
20,178,-293.13177865109526,-10.36778908547673,4.751137548443161,3.248862451556839,0.5674157303370787,0
21,156,-344.81024557789726,-8.171369168740938,5.5012704305631,2.4987295694369003,0.5,0
22,180,-406.849714256863,-8.171369168740938,5.645690032134542,2.3543099678654578,0.4444444444444444,0
23,164,-227.6466682620302,-7.171369168740938,5.196578376138173,2.8034216238618272,0.4146341463414634,0
24,168,-8814.572667028142,-5467.929688907407,4.9561643974421585,3.0438356025578415,0.4107142857142857,0
25,172,-8401.37213080498,-4242.919097712437,5.897352322076677,2.102647677923323,0.3953488372093023,0
26,170,-7621.55309966078,-4242.919097712437,6.67734104620952,1.32265895379048,0.35294117647058826,0
27,176,-6658.860397354813,-4241.919097712437,6.856034673254337,1.143965326745663,0.375,0
28,168,-5602.167901872134,-4241.919097712437,6.210181111321827,1.7898188886781732,0.38095238095238093,0
29,180,-5006.277368432426,-4241.919097712437,6.001244766684529,1.998755233315471,0.45,0
30,166,-4766.7041698088715,-4241.919097712437,5.535392618513145,2.4646073814868554,0.5240963855421686,0
31,172,-4509.725850817991,-4241.919097712437,4.902828700334232,3.097171299665768,0.45930232558139533,0
32,170,-4530.946940471436,-4241.919097712437,4.751829104420624,3.248170895579376,0.47058823529411764,0
33,164,-4486.310657957545,-4241.919097712437,4.31389676527942,3.68610323472058,0.5365853658536586,0
34,176,-4507.614865900956,-4241.919097712437,4.064849467894502,3.9351505321054976,0.5681818181818182,0
35,180,-4588.5746162181,-4241.919097712437,4.02514267931233,3.9748573206876703,0.6277777777777778,0
36,172,-4531.179186889022,-4241.919097712437,3.869847618632442,4.130152381367558,0.6511627906976745,0
37,174,-4498.734004412127,-4241.919097712437,3.4749195269644826,4.525080473035517,0.7241379310344828,0
38,172,-4449.332510019472,-4241.919097712437,3.4197060762880813,4.580293923711919,0.7034883720930233,0
39,182,-4649.794227021698,-4241.919097712437,3.947386719141231,4.052613280858769,0.6703296703296703,0
40,172,-4521.72417661584,-4241.919097712437,3.758885697620131,4.241114302379869,0.6511627906976745,0
41,182,-4493.627818549896,-4241.919097712437,3.761934924170019,4.238065075829981,0.6263736263736264,0
42,162,-4445.812959509013,-4241.919097712437,3.5599747649523925,4.4400252350476075,0.5308641975308642,0
43,162,-5847.875065155482,-1162.0385721656717,3.72311079109508,4.276889208904921,0.48148148148148145,0
44,166,-5036.325932533142,-520.9037280710777,5.650917010983816,2.3490829890161837,0.4397590361445783,0
45,176,-3755.0318791885775,-59.91241121487498,6.5205092983500865,1.4794907016499135,0.44886363636363635,0
46,176,-2642.4255188049497,-59.91241121487498,7.05289587600459,0.9471041239954099,0.5681818181818182,0
47,176,-1615.9233873950166,-59.91241121487498,7.053469898494576,0.9465301015054237,0.5965909090909091,0
48,168,-924.9137551285423,-59.91241121487498,6.6404595240251005,1.3595404759748995,0.6011904761904762,0
49,176,-579.9692858531588,-59.91241121487498,6.097188323767146,1.9028116762328544,0.6363636363636364,0
50,162,-548.4159781524912,-59.91241121487498,5.725539407924419,2.274460592075581,0.5679012345679012,0
51,154,-213.36391864063432,-8.311582329815678,5.59277381482805,2.4072261851719503,0.5714285714285714,0
52,164,-144.18956502765099,-8.311582329815678,5.743398399346436,2.256601600653564,0.5365853658536586,0
53,170,-101.24841893282154,-8.311582329815678,5.449421017236831,2.5505789827631693,0.5117647058823529,0
54,172,-123.99932201048999,-8.311582329815678,5.584475002159142,2.4155249978408584,0.4941860465116279,0
55,166,-104.19217482197415,-8.311582329815678,5.115235276044787,2.8847647239552128,0.5481927710843374,0
56,174,-129.50969097398828,-8.311582329815678,4.761658184469397,3.238341815530603,0.5689655172413793,0
57,168,-124.5377417324929,-8.311582329815678,4.528062012123759,3.471937987876241,0.5773809523809523,0
58,170,-130.72168860558634,-8.311582329815678,4.073619485981373,3.9263805140186268,0.5764705882352941,0
59,172,-89.46320130142803,-8.311582329815678,3.082925213604575,4.917074786395425,0.5872093023255814,0
60,174,-68.86789232950363,-8.311582329815678,2.7452469031966418,5.254753096803358,0.6551724137931034,0
61,168,-61.52328842191186,-8.311582329815678,2.7907482423477816,5.209251757652218,0.6726190476190477,0
62,168,-94.2985627422049,-8.311582329815678,3.4768587476602573,4.523141252339743,0.5892857142857143,0
63,168,-251.80261268273907,-0.16567094903033563,3.4202193421843385,4.579780657815661,0.4523809523809524,0
64,164,-284.6943789893872,-0.16567094903033563,4.758369172816744,3.241630827183256,0.4817073170731707,0
65,170,-406.5084842518888,-0.16567094903033563,5.255015685176777,2.744984314823223,0.5176470588235295,0
66,178,-241.1796843810468,-0.16567094903033563,4.996523333611192,3.003476666388808,0.5337078651685393,0
67,168,-190.99166394259487,-0.16567094903033563,4.389954752881039,3.6100452471189612,0.47023809523809523,0
68,170,-305.6238537461211,-0.16567094903033563,4.555117491165303,3.444882508834697,0.5117647058823529,0
69,164,-277.35873983106853,-0.16567094903033563,4.099298666774188,3.900701333225812,0.5,0
70,182,-396.8614457361288,-0.0,3.645589380268625,4.354410619731375,0.43956043956043955,0
71,182,-337.4518003803114,-0.0,4.107228187232657,3.892771812767343,0.4835164835164835,0
72,170,-372.2393746125789,-0.0,4.324060729205993,3.6759392707940073,0.48823529411764705,0
73,172,-363.02641400830703,-0.0,4.454260517221343,3.5457394827786572,0.47674418604651164,0
